country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
CN,Shanghai,Line 16,Line 16,2010.0,2014.0,0.0,58.96,0.23219131614654,13.69,,0.0,0.3,7612.798987416076,129.11802895888866
CN,Shanghai,Line 11,Line 11 (to Disney),,2016.0,0.0,9.15,0.1595628415,1.46,3.0,0.0,0.2808,1628.8934628674965,178.02114348278653
CN,Shanghai,Line 9,Line 9 Phase 3 Eastern Extension,2013.0,2017.0,0.0,13.828,1.0,13.828,9.0,0.0,0.258,4216.611229186093,304.9328340458557
CN,Shanghai,Line 5,Line 5 Southern Extension,2014.0,2018.0,0.0,19.628,0.3946912574,7.747,9.0,0.0,0.251,3383.8315759040365,172.39818503688792
CN,Shanghai,Line 8,Line 8 Phase 3 (Pujiang Line),2016.0,2018.0,0.0,6.689,0.0,0.0,6.0,0.0,0.258,1053.738210896265,157.53299609751306
CN,Shanghai,Line 14,Line 14,2014.0,2021.0,0.0,38.15,1.0,38.15,31.0,0.0,0.239,15607.245303147949,409.1021049317942
CN,Shanghai,Line 15,Line 15,2016.0,2021.0,0.0,42.3,1.0,42.3,30.0,0.0,0.238,13525.649995533076,319.7553190433352
CN,Shanghai,Line 18,Line 18,2016.0,2021.0,0.0,36.85,1.0,36.85,26.0,0.0,0.238,13030.383655491536,353.6060693484813
CN,Shanghai,Airport Contact Line,Airport Contact Line,2019.0,2025.0,0.0,68.6,0.83,56.7,9.0,0.0,0.237,13819.565078615886,201.45138598565433
CN,Shanghai,Jiamin Line,Jiamin Line,2021.0,2027.0,1.0,41.36,0.94,38.68,17.0,0.0,0.239,10723.211950400413,259.2652792650003
CN,Shanghai,Line 12,Line 12 West Extension,2022.0,,0.0,17.3,1.0,17.3,6.0,0.0,0.239000000000002,4738.100919437616,273.878665863446
CN,Shanghai,Chongming,Chongming,,,0.0,44.6,0.59,26.1,8.0,0.0,0.237,7599.696732165968,170.39678771672573
CN,Shanghai,Line 1,Line 1 Western Extension,,,0.0,1.2,0.0,0.0,1.0,0.0,0.237,1028.1130635545803,856.7608862954835
CN,Shanghai,Line 13,Line 13 Western Extension,,,0.0,9.8,1.0,9.8,5.0,0.0,0.237,3631.8992670295925,370.6019660234278
CN,Shanghai,Line 19,Line 19,,,0.0,44.5,1.0,44.5,32.0,0.0,0.237,17405.73847792375,391.14019051514055
CN,Shanghai,Line 20,Line 20 Phase 1,,,0.0,19.8,1.0,19.8,16.0,0.0,0.237,11317.583637238307,571.5951331938538
CN,Shanghai,Line 21,Line 21 Phase 1,,,0.0,28.0,1.0,28.0,16.0,0.0,0.237,10627.957028454004,379.5698938733573
CN,Shanghai,Line 23,Line 23 Phase 1,,,0.0,28.0,1.0,28.0,22.0,0.0,0.237,9699.923222554527,346.4258293769474
CN,Shaoxing,Hangshao Line,Hangshao Line,2016.0,2021.0,0.0,20.3,0.49,9.87,10.0,0.0,0.238,3627.9819525379703,178.7183227851217
CN,Shaoxing,Line 1,Line 1,2016.0,2021.0,0.0,31.3,1.0,31.3,23.0,0.0,0.238,6771.760215241514,216.35016662113463
CN,Shaoxing,Line 2,Line 2,2022.0,,0.0,10.8,1.0,10.8,9.0,0.0,0.239000000000001,2722.459575377359,252.07959031271844
CN,Shenyang,Line 10,Line 10 Phase 1,2012.0,2020.0,0.0,49.9,1.0,49.9,37.0,0.0,0.251,9467.335541963359,189.7261631655984
CN,Shenyang,Line 9,Line 9 Phase 1,2012.0,2020.0,0.0,29.2,1.0,29.2,23.0,0.0,0.251,5726.606766227653,196.11667007628947
CN,Shenyang,Line 4,Line 4 Phase 1,,2022.0,0.0,34.2,1.0,34.2,23.0,0.0,0.239000000000001,4469.88624458798,130.6984282043269
CN,Shenyang,Line 1,Line 1 Eastern Extension,2020.0,2025.0,0.0,15.0,1.0,15.0,9.0,0.0,0.238,2935.857170349335,195.7238113566223
CN,Shenyang,Line 1 and 2,Line 1 and 2 Phase 1,2005.0,,0.0,55.07,1.0,55.07,43.0,0.0,0.352,13556.539898822322,246.1692373129167
CN,Shenzhen,Phase 1,Phase 1 Expansion (Line 1 and 4),1998.0,2004.0,0.0,21.446,1.0,21.446,19.0,0.0,0.368,7281.190649350649,339.512759924958
CN,Shenzhen,Line 7,Line 7,,2016.0,0.0,30.2,1.0,30.2,28.0,0.0,0.273,9596.808294646653,317.77510909426
CN,Shenzhen,Line 3,Line 3 Phase 3 North Ext,2011.0,2020.0,0.0,9.4,0.0,0.0,7.0,0.0,0.251,2166.8758561208633,230.51870809796415
CN,Shenzhen,Line 10,Line 10,2015.0,2020.0,0.0,29.54,1.0,29.54,24.0,0.0,0.237,8282.133739107232,280.3701333482475
CN,Shenzhen,Line 6,Line 6 Phase 1,2015.0,2020.0,0.0,37.626,0.345771541,13.01,20.0,0.0,0.239,4991.185828981723,132.6525761170925
CN,Shenzhen,Line 12,Line 12,2017.0,2022.0,0.0,40.0,1.0,40.0,33.0,0.0,0.239,11331.18020936684,283.279505234171
CN,Shenzhen,Line 6,Line 6 (feeder),2018.0,2022.0,0.0,6.13,0.865415986949429,5.305,4.0,0.0,0.237,1091.3815597733235,178.03940616204298
CN,Shenzhen,Line 12,Line 12 Phase 2,2020.0,2022.0,0.0,8.05,1.0,8.05,6.0,0.0,0.239,2444.0323177178284,303.6064990953824
CN,Shenzhen,Line 3,Line 3 Phase 3 North Ext (Phase 4),2020.0,2022.0,0.0,9.35,0.79,7.42,7.0,0.0,0.239,3034.664082013516,324.56300342390546
CN,Shenzhen,Line 3,Line 3 Phase 4,,2022.0,0.0,9.35,0.7935828877,7.42,7.0,0.0,0.239,3034.664082013516,324.56300342390546
CN,Shenzhen,Line 16,Line 16,2018.0,2023.0,0.0,27.6,1.0,27.6,24.0,0.0,0.239,8179.008682849216,296.340894306131
CN,Shenzhen,Line 8,Line 8 Phase 2,2019.0,2024.0,0.0,8.023,1.0,8.023,4.0,0.0,0.239,1697.4387638779199,211.57157720028914
CN,Shenzhen,Line 13,Line 13 Southern Extension,2020.0,2025.0,0.0,4.47,1.0,4.47,3.0,0.0,0.239,1396.198718122491,312.3487065150986
CN,Shenzhen,Line 8,Line 8 Phase 3,,2025.0,0.0,4.26,1.0,4.26,,0.0,0.239,2340.5040180054175,549.4140887336661
CN,Shenzhen,Line 5,Line 5 West Extension,2019.0,,0.0,2.88,1.0,2.88,3.0,0.0,0.238,1148.8136753540875,398.89363727572487
CN,Shenzhen,Line 14,Line 14,2020.0,,0.0,50.34,1.0,50.34,17.0,0.0,0.239,11537.913832449163,229.19971856275652
CN,Shenzhen,Guangzhou-Dongguan-Shenzhen Regional Rail,Guangzhou-Dongguan-Shenzhen Regional Rail South Extension,2021.0,,1.0,15.15,1.0,15.15,3.0,0.0,0.239000000000002,3198.1509325755883,211.0990714571345
CN,Shenzhen,Line 13,Line 13 Northern Extension,2021.0,,0.0,19.296,1.0,19.296,11.0,0.0,0.239,7492.810756319886,388.3090151492479
CN,Shenzhen,Line 13,Line 13,2021.0,,0.0,22.436,1.0,22.436,16.0,0.0,0.239,6281.007180270878,279.9521831106649
CN,Shenzhen,Shenhui,Shenhui Dapeng Branch ICR,2021.0,,1.0,39.4,1.0,39.4,6.0,0.0,0.239000000000002,6347.9264728937305,161.11488509882565
CN,Shenzhen,Shenhui,Shenhui Mainline ICR,2021.0,,1.0,58.738,1.0,58.738,11.0,0.0,0.239000000000002,13907.92527401569,236.7790063334756
CN,Shenzhen,Line 20,Line 20 Phase 1,2022.0,,0.0,8.43,1.0,8.43,5.0,0.0,0.239,3011.6369202051883,357.2523037016831
CN,Shenzhen,Line 11,Line 11 Phase 2,,,0.0,5.58,1.0,5.58,3.0,0.0,0.239,1866.6630987554627,334.52743705295023
CN,Shenzhen,Line 16,Line 16 Phase 2,,,0.0,9.53,1.0,9.53,7.0,0.0,0.239,3093.7535078107194,324.6331068007051
CN,Shenzhen,Line 7,Line 7 Phase 2,,,0.0,2.45,1.0,2.45,2.0,0.0,0.239,789.5472799378699,322.2641958930081
CN,Shenzhen,Line 1,Line 1 Phase 2,,,0.0,23.5,0.7787234042553192,18.3,15.0,0.0,0.238,3439.6332413194236,146.3673719710393
CN,Shenzhen,Line 2,Line 2,,,0.0,35.8,1.0,35.8,29.0,0.0,0.238,5045.419467536582,140.93350467979278
CN,Shenzhen,Line 3,Line 3,,,0.0,41.5,0.44626506024096385,18.52,30.0,0.0,0.238,4781.901466449187,115.22654136022138
CN,Shenzhen,Line 4,Line 4 Phase 2,,,0.0,15.94,0.3193224592220828,5.09,10.0,0.0,0.238,1644.9309884884826,103.19516866301647
CN,Shenzhen,Line 5,Line 5,,,0.0,40.1,0.8927680798004987,35.8,27.0,0.0,0.238,5831.4349476368725,145.42231789618137
CN,Shenzhen,Line 9,Line 9,,,0.0,25.33,1.0,25.33,22.0,0.0,0.238,6345.706353418837,250.5213720260102
CN,Shijiazhuang,First,First,2012.0,2020.0,0.0,59.6,1.0,59.6,52.0,0.0,0.251,13444.190054373415,225.57365863042642
CN,Shijiazhuang,Line 1,Line 1 Phase 2,2012.0,2021.0,0.0,12.7,1.0,12.7,7.0,0.0,0.251,2463.54665348094,193.98005145519215
CN,Shijiazhuang,Line 3,Line 3 Phase 2,2012.0,2021.0,0.0,8.1,1.0,8.1,5.0,0.0,0.251,1741.467140250076,214.99594324075014
CN,Shijiazhuang,Line 4,Line 4,2020.0,,0.0,24.4,1.0,24.4,21.0,0.0,0.239,4839.98672922712,198.36011185357052
CN,Shijiazhuang,Line 6,Line 6 Phase 1,2020.0,,0.0,15.76,1.0,15.76,11.0,0.0,0.239,2831.5090085583693,179.66427719278994
CN,Suzhou,Line 2,Line 2,2009.0,2014.0,0.0,26.557,0.7,18.709,22.0,0.0,0.281,5817.6245337421715,219.06181171601355
CN,Suzhou,Line 5,Line 5,2020.0,,0.0,44.1,0.99,43.6,34.0,0.0,0.239,7965.254597463015,180.61801808306157
CN,Suzhou,Line 6,Line 6,2020.0,,0.0,36.2,1.0,36.2,31.0,0.0,0.239,6741.8221052428225,186.2381797028404
CN,Suzhou,Line 7,Line 7,2021.0,,0.0,29.6,1.0,29.6,25.0,0.0,0.239,5910.666677322212,199.68468504466935
CN,Suzhou,Line 8,Line 8,,,0.0,35.2,1.0,35.2,26.0,0.0,0.237,6804.239184252131,193.30224955261733
CN,Taiyuan,Line 3,Line 3,2018.0,,0.0,30.523,1.0,30.523,25.0,0.0,0.237,6988.292991433929,228.95170826700945
CN,Taiyuan,Jinzhong-Taiyuan Intercity,Jinzhong-Taiyuan Intercity,2019.0,,0.0,19.86,0.05,0.991,12.0,0.0,0.238,2468.6729423720058,124.30377353333363
CN,Taiyuan,Line 1,Line 1 Phase 1,2021.0,,0.0,28.737,1.0,28.737,24.0,0.0,0.239,6035.824567179392,210.03669719105653
CN,Taizhou,Line S2,Line S2 South Segment,2021.0,,0.0,6.0,0.0,0.0,1.0,0.0,0.239000000000001,504.98534473189113,84.16422412198186
CN,Taizhou,Line S2,Line S2 West Segment,2021.0,,0.0,11.75,0.0,0.0,3.0,0.0,0.239000000000001,1073.933708115294,91.39861345662077
CN,Taizhou,Line S2,Line S2,2021.0,,0.0,66.3,0.28,18.65,22.0,0.0,0.239000000000001,8277.56711960737,124.85018279950786
CN,Taizhou,Line S1,Line S1,2022.0,,1.0,52.4,0.34,17.8,15.0,0.0,0.239000000000001,5707.490029840965,108.92156545498024
CN,Tianjin,Z4,Z4 Phase 1,2015.0,2020.0,0.0,43.7,0.3455377574,15.1,20.0,0.0,0.258,9518.80167280828,217.8215485768485
CN,Tianjin,M8,M8 Phase 1,2017.0,2020.0,0.0,20.0,1.0,20.0,18.0,0.0,0.258,6651.121291502297,332.5560645751149
CN,Tianjin,Z2,Z2 Phase 1,2017.0,2020.0,0.0,52.8,0.3390151515,17.9,5.0,0.0,0.258,9942.02167819186,188.29586511727007
CN,Tianjin,M10,M10 Phase 1,2018.0,2022.0,0.0,21.22,1.0,21.22,21.0,0.0,0.239,6209.73589484991,292.6359988147932
CN,Tianjin,M11,M11 Phase 1,2019.0,,0.0,22.6,1.0,22.6,21.0,0.0,0.238,6747.932968641578,298.5811048071494
CN,Tianjin,M7,M7 Phase 1,2019.0,,0.0,26.53,1.0,26.53,21.0,0.0,0.238,7627.555488955905,287.506803202258
CN,Tianjin,Line 13,Line 13 Phase 1,2020.0,,0.0,21.2,1.0,21.2,17.0,0.0,0.239,6696.832541953704,315.88832745064644
CN,Tianjin,M3,M3 Phase 2,,,0.0,3.9,0.0,0.0,3.0,0.0,0.258,565.177812831991,144.91738790563872
CN,Urumqi,Line 1,Line 1,2014.0,2019.0,0.0,27.615,1.0,27.615,21.0,0.0,0.239,6445.165796067232,233.3936554795304
CN,Urumqi,Line 4,Line 4 Phase 1,2018.0,,0.0,20.556,1.0,20.556,16.0,0.0,0.237,4827.673845563842,234.85473076298126
CN,Wenzhou,M1,M1,2022.0,,0.0,32.5,1.0,32.5,23.0,0.0,0.239,6987.55665940879,215.0017433664243
CN,Wenzhou,S3,S3 Phase 1,2022.0,,0.0,31.17,0.09,2.8,12.0,0.0,0.239,3289.5266735062914,105.53502321162308
CN,Wuhan,Line 1,Line 1 Phase 1,2000.0,2003.0,0.0,10.234,0.0,0.0,10.0,0.0,0.367,1428.0172425435542,139.5365685502789
CN,Wuhan,Line 1,Line 1 Phase 2,2005.0,2010.0,0.0,18.25,0.0,0.0,16.0,0.0,0.3519,2552.8576663760364,139.88261185622116
CN,Wuhan,Line 1,Line 1 Phase 3 Hankou North,2011.0,2013.0,0.0,5.7,0.0,0.0,3.0,0.0,0.284,908.2907092500632,159.3492472368532
CN,Wuhan,Line 3,Line 3 Phase 1,2012.0,2015.0,0.0,27.9,1.0,27.9,23.0,0.0,0.266,7334.540718927413,262.8867641192621
CN,Wuhan,Line 1,Line 1 Phase 4 (Jinghe),2015.0,2017.0,0.0,3.97,0.0,0.0,2.0,0.0,0.258,577.1181891594274,145.36982094695904
CN,Wuhan,Line 4,Line 4 Western Extension,2016.0,2018.0,0.0,4.0,0.85,3.4,2.0,0.0,0.258,873.6375346240987,218.4093836560247
CN,Wuhan,Line 7,Line 7 South,2016.0,2020.0,0.0,14.2,1.0,14.2,7.0,0.0,0.258,3184.100353983048,224.23241929458084
CN,Wuhan,Line 8,Line 8 Phase 2,2016.0,2021.0,0.0,17.6,1.0,17.6,12.0,0.0,0.237,4218.858361495299,239.7078614485965
CN,Wuhan,Line 11,Line 11 East,2017.0,2021.0,0.0,32.1,1.0,32.1,20.0,0.0,0.258,8165.890699485691,254.3891183640402
CN,Wuhan,Line 5,Line 5,2017.0,2021.0,0.0,33.59,0.75,25.33,26.0,0.0,0.238,6599.57999278721,196.4745457811018
CN,Wuhan,Line 11,Line 11 Phase 3 Hanchang Section,2019.0,2024.0,0.0,4.0,1.0,4.0,2.0,0.0,0.239000000000002,2147.0611596929725,536.7652899232431
CN,Wuhan,Line 12,Line 12 (Ring),2020.0,2024.0,0.0,59.9,1.0,59.9,37.0,0.0,0.237,16791.171312380775,280.32005529851045
CN,Wuhan,Line 11,Line 11 Phase 3 Hanyang Section,2019.0,2025.0,0.0,2.2,1.0,2.2,2.0,0.0,0.239000000000002,1048.4022510905354,476.54647776842506
CN,Wuhan,Line 4,Line 4 Phase 1,2009.0,,0.0,15.4,1.0,15.4,15.0,0.0,0.317,4232.141866437957,274.81440691155564
CN,Wuhan,Line 2,Line 2 Northern Extension,2016.0,,0.0,19.8,0.69,13.7,7.0,0.0,0.251,3007.1775667959682,151.87765488868527
CN,Wuhan,Line 16,Line 16,2020.0,,0.0,33.0,0.38,12.7,12.0,0.0,0.239,4776.113873722525,144.7307234461371
CN,Wuhan,Line 11,Line 11 Phase 3,,,0.0,9.9,1.0,9.9,6.0,0.0,0.238,3833.633783311233,387.23573568800333
CN,Wuhan,Line 19,Line 19,,,0.0,20.6,1.0,20.6,6.0,0.0,0.237,4943.570227273632,239.97913724629277
CN,Wuhan,Line 2,Line 2 Southern Extension,,,0.0,13.35,1.0,13.35,10.0,0.0,0.266,5483.70156817721,410.7641624102779
CN,Wuhan,Line 21,Line 21,,,0.0,33.7,0.7181008902,24.2,15.0,0.0,0.258,5342.323375167181,158.5259161770677
CN,Wuhan,Line 6,Line 6 Phase 2,,,0.0,7.0,1.0,7.0,5.0,0.0,0.237,1310.8082080228744,187.2583154318392
CN,Wuhan,Line 7,Line 7 Northern Extension,,,0.0,33.6,0.4047619048,13.6,9.0,0.0,0.237,5049.688750476888,150.28835566895498
CN,Wuhan,Line 8,Line 8 Phase 3,,,0.0,4.9,1.0,4.9,2.0,0.0,0.237,746.8558394548936,152.41955907242723
CN,Wuhan,Xingang,Xingang,,,0.0,30.2,0.8410596026,25.4,11.0,0.0,0.237,5084.774007470918,168.37000024738143
CN,Wuhu,Line 1,Line 1,,2021.0,0.0,30.517,0.0,0.1,25.0,0.0,0.239000000000002,2445.644830793097,80.14040799531726
CN,Wuhu,Line 2,Line 2,,2021.0,0.0,14.94,0.09,1.3,11.0,0.0,0.239000000000002,1487.0058075580446,99.53184789545143
CN,Wuxi,Line 2,Line 2 Phase 1,2010.0,2014.0,0.0,26.3,0.75,19.6,20.0,0.0,0.281,6521.333347535216,247.9594428720614
CN,Wuxi,Line 1,Line 1 South,,2019.0,0.0,5.187,1.0,5.187,3.0,0.0,0.238,736.9426984123257,142.0749370372712
CN,Wuxi,Line S1,Line S1,2019.0,2023.0,0.0,30.4,0.35,10.5,9.0,0.0,0.239,3870.8376371332615,127.33018543201518
CN,Wuxi,Line 1,Line 1 Phase 1,2014.0,,0.0,29.4,0.83,24.4,24.0,0.0,0.266,6333.800275412274,215.43538351742427
CN,Wuxi,Line 3,Line 3 Phase 1,2020.0,,0.0,28.5,1.0,28.5,21.0,0.0,0.239,5778.945842966489,202.77002957777154
CN,Wuxi,Line 4,Line 4 Phase 1,2021.0,,0.0,24.4,1.0,24.4,18.0,0.0,0.239,4923.0024187327,201.76239421035658
CN,Wuxi,Line 5,Line 5 Phase 1,2022.0,,0.0,25.4,1.0,25.4,22.0,0.0,0.239000000000002,6549.221855120546,257.84338012285616
CN,Xi'an,Line 2,Line 2 Phase 1,2006.0,2011.0,0.0,26.76,1.0,26.76,21.0,0.0,0.317,5836.303724961194,218.09804652321353
CN,Xi'an,Line 1,Line 1 Phase 1,,2013.0,0.0,25.36,1.0,25.36,19.0,0.0,0.273,4816.97216456256,189.94369734079496
CN,Xi'an,Line 3,Line 3,2012.0,2016.0,0.0,38.4,0.71,27.13,24.0,0.0,0.266,6172.887511658557,160.7522789494416
CN,Xi'an,Line 4,Line 4,2013.0,2018.0,0.0,33.3,1.0,33.3,28.0,0.0,0.251,6477.365518730704,194.51548104296413
CN,Xi'an,Line 5,Line 5 Phase 1,2014.0,2020.0,0.0,25.7,0.95,24.3,20.0,0.0,0.239,5288.577317958549,205.78121859760893
CN,Xi'an,Line 9,Line 9,2016.0,2020.0,0.0,25.296,1.0,25.296,15.0,0.0,0.237,3993.9676158450375,157.8892953765432
CN,Xi'an,Line 5,Line 5 Phase 2,2016.0,2021.0,0.0,19.87,0.16,3.2,13.0,0.0,0.238,2697.8683620475867,135.77596185443315
CN,Xi'an,Line 6,Line 6 Phase 1 and 2,2016.0,2022.0,0.0,39.8,1.0,39.8,32.0,0.0,0.238,8197.707461168675,205.97254927559487
CN,Xi'an,Line 1,Line 1 Phase 3,2019.0,2023.0,0.0,10.6,1.0,10.6,7.0,0.0,0.239,2392.7006514890945,225.72647655557498
CN,Xi'an,Line 16,Line 16 Phase 1,2019.0,2024.0,0.0,15.03,1.0,15.03,9.0,0.0,0.239,2857.104417160571,190.09344092884703
CN,Xi'an,Line 15,Line 15 Phase 1,2020.0,2025.0,0.0,19.0,1.0,19.0,11.0,0.0,0.238,3527.5671275810946,185.66142776742603
CN,Xi'an,Line 1,Line 1 Phase 2,2016.0,,0.0,6.1,1.0,6.1,4.0,0.0,0.251,1179.035392301058,193.28449054115706
CN,Xi'an,Airport Line,Airport Line,2019.0,,0.0,29.28,0.28,8.14,10.0,0.0,0.238,3600.7508135666144,122.97646221197454
CN,Xi'an,Line 14,Line 14,,,0.0,13.8,1.0,13.8,8.0,0.0,0.238,2358.613755696108,170.9140402678339
CN,Xi'an,Line 2,Line 2 Phase 2,,,0.0,7.0,1.0,7.0,4.0,0.0,0.238,1216.6078650848597,173.80112358355137
CN,Xi'an,Line 8,Line 8,,,0.0,50.0,1.0,50.0,35.0,0.0,0.238,10860.118611013973,217.20237222027947
CN,Xiamen,Line 2,Line 2 Phase 1,2015.0,2019.0,0.0,25.2,1.0,25.2,19.0,0.0,0.239,5234.803232539163,207.73028700552237
CN,Xiamen,Line 1,Line 1 Phase 1,2011.0,2020.0,0.0,31.5,0.84,26.36,23.0,0.0,0.251,6497.440986221236,206.26796781654718
CN,Xiamen,Line 2,Line 2 Phase 2,2016.0,2020.0,0.0,15.5,1.0,15.5,9.0,0.0,0.251,3893.366060306574,251.1849071165532
CN,Xiamen,Line 3,Line 3 Phase 2,2016.0,2020.0,0.0,22.6,0.7433628319,16.8,13.0,0.0,0.251,4828.946577008171,213.67020252248543
CN,Xiamen,Line 4,Line 4,2017.0,2022.0,0.0,69.6,0.4482758621,31.2,18.0,0.0,0.251,11553.272211693826,165.9952903978998
CN,Xiamen,Line 6,Line 6,2017.0,2022.0,0.0,44.5,1.0,44.5,27.0,0.0,0.251,11619.553120233993,261.1135532636852
CN,Xiamen,Line 9,Line 9,2021.0,,0.0,44.2,1.0,44.2,24.0,0.0,0.239000000000002,10894.466214035443,246.48113606415032
CN,Xiamen,Line 4,Line 4 (Houxi to Xiang'an Airport),2022.0,,0.0,44.78,0.5,22.48,10.0,0.0,0.239000000000002,6175.387573842174,137.9050373792357
CN,Xuzhou,Line 1,Line 1,2014.0,2019.0,0.0,21.967,0.96,20.996,18.0,0.0,0.239,4836.102555009791,220.15307301906455
CN,Xuzhou,"First Phase Program (Lines 1, 2 and 3)","First Phase Program (Lines 1, 2 and 3)",2013.0,2020.0,0.0,67.0,0.9,60.6,,0.0,0.239,13169.600323041774,196.56119885136977
CN,Xuzhou,Line 2,Line 2,2020.0,,0.0,24.15,1.0,24.15,20.0,0.0,0.239,4771.330444015131,197.5706187997984
CN,Xuzhou,Line 3,Line 3,2021.0,,0.0,18.3,1.0,18.3,16.0,0.0,0.239000000000001,3635.1419759678342,198.64163803102917
CN,Xuzhou,Line 4,Line 4 Phase 1,2021.0,,0.0,26.2,1.0,26.2,19.0,0.0,0.239,4963.852749972321,189.46002862489777
CN,Xuzhou,Line 6,Line 6 Phase 1,2021.0,,0.0,22.912,1.0,22.912,16.0,0.0,0.239,5148.485497088238,224.70694383241266
CN,Xuzhou,Line 3,Line 3 Phase 2,,,0.0,6.5,1.0,6.5,5.0,0.0,0.239,1411.2243149680655,217.1114330720101
CN,Xuzhou,Line 5,Line 5 Phase 1,,,0.0,24.6,1.0,24.6,20.0,0.0,0.239,4735.595410318728,192.50387846824094
CN,Zhengzhou,Line 1,Line 1 Phase 1,2009.0,2013.0,0.0,25.2,1.0,25.2,20.0,0.0,0.284,5514.951911247049,218.8472980653591
CN,Zhengzhou,Line 2,Line 2 Phase 1,2010.0,2016.0,0.0,18.27,1.0,18.27,16.0,0.0,0.273,3716.460065883404,203.4187228179203
CN,Zhengzhou,Line 4,Line 4,2014.0,2020.0,0.0,30.1,1.0,30.1,24.0,0.0,0.239,5654.89470647846,187.87025602918467
CN,Zhengzhou,Line 3,Line 3 Phase 1,2017.0,2020.0,0.0,25.487,1.0,25.487,21.0,0.0,0.238,5845.617832517787,229.35684201819703
CN,Zhengzhou,Zhengxu Regional,Zhengxu Regional Rail (Xucheng Section),,2022.0,1.0,33.78,0.12,4.016,11.0,0.0,0.239000000000001,2655.002778396143,78.59688509165609
CN,Zhengzhou,Line 10,Line 10 Phase 1,2019.0,2024.0,0.0,21.3,1.0,21.3,12.0,0.0,0.239,3714.961373192604,174.41133207477012
CN,Zhengzhou,Line 12,Line 12 Phase 1,2019.0,2024.0,0.0,17.034,1.0,17.034,12.0,0.0,0.239,3220.994867808244,189.09210213738666
CN,Zhengzhou,Line 8,Line 8 Phase 1,2019.0,2024.0,0.0,50.63,1.0,50.63,27.0,0.0,0.239,8336.555535421707,164.65643956985397
CN,Zhengzhou,Zhengxu Regional,Zhengxu Regional Rail (Zhengzhou Section),2020.0,,1.0,31.27,0.9,28.18,15.0,0.0,0.239,5027.384622469679,160.7734129347515
CN,Zhengzhou,Line 3,Line 3 Phase 2,2021.0,,0.0,6.305,1.0,6.305,4.0,0.0,0.239,960.2515363102925,152.3000057589679
CN,Zhengzhou,Line 14,Line 14 Phase 1,,,0.0,8.3,1.0,8.3,6.0,0.0,0.238,1895.9680508806719,228.4298856482737
CN,Zhengzhou,Line 6,Line 6 Phase 1,,,0.0,36.5,0.9232876712,33.7,24.0,0.0,0.238,8312.305171006465,227.73438824675245
CN,Zhengzhou,Line 7,Line 7 Phase 1,,,0.0,26.9,1.0,26.9,20.0,0.0,0.238,6001.629566207847,223.1089058069832
CN,Zibo,Line 1,Line 1,2020.0,,0.0,20.82,0.62,12.86,15.0,0.0,0.239,3785.0688380340093,181.79965600547595
CO,Bogotá,Line 1,Line 1,2020.0,2028.0,0.0,24.0,0.0,0.0,27.0,0.0,0.000625,10057.445484711568,419.0602285296487
CZ,Prague,Line C,Line C to Letnany,2004.0,2008.0,0.0,4.6,1.0,4.6,3.0,0.0,0.069,1564.3183035714287,340.0691964285715
CZ,Prague,Line A,Line A extension,2010.0,2015.0,0.0,6.1,0.97,5.9,4.0,0.0,0.0752,2015.969607568142,330.4868209128102
CZ,Prague,Line D,Line D,2021.0,2029.0,0.0,10.5,0.9,9.5,10.0,0.0,0.0776,5664.8,539.504761904762
DE,Berlin,U9,Extension to Rathaus Steglitz,1968.0,1974.0,0.0,1.5,1.0,1.5,2.0,0.0,0.3836,346.32203614814813,230.88135743209878
DE,Berlin,U7,Extension to Rathaus Spandau,1978.0,1984.0,0.0,4.9,1.0,4.9,5.0,0.0,0.5251,1196.9123623322332,244.2678290473945
DE,Berlin,U8,U8 to Wittenau,1985.0,1994.0,0.0,3.6,1.0,3.6,4.0,0.0,1.3,795.8647507254329,221.07354186817582
DE,Berlin,U2,U2 to Pankow,1997.0,2000.0,0.0,0.8,1.0,0.8,1.0,0.0,1.3,131.22748711656442,164.0343588957055
DE,Berlin,U55,U55,2004.0,2009.0,0.0,1.8,1.0,1.8,3.0,0.0,1.3,628.7501587301588,349.3056437389771
DE,Berlin,U5-U55 connection,U5-U55 connection,2010.0,2020.0,0.0,2.2,1.0,2.2,3.0,0.0,1.3,877.4016842673732,398.81894739426053
DE,Cologne,North-South Stadtbahn,North-South Stadtbahn,2003.0,2015.0,0.0,4.0,1.0,4.0,6.0,0.0,1.3,1920.214713545915,480.05367838647874
DE,Dusseldorf,Wehrhahn Line,Wehrhahn Line,2007.0,2016.0,0.0,3.4,1.0,3.4,6.0,0.0,1.3,1602.7797128844832,471.40579790720096
DE,Frankfurt,U1,Line A1,1963.0,1968.0,0.0,9.0,0.5,4.5,14.0,0.0,1.45,1204.5585,133.83983333333333
DE,Frankfurt,U-Bahn Europaviertel,U-Bahn Europaviertel,2019.0,2025.0,0.0,2.7,0.52,1.4,4.0,0.0,1.3,505.53742837129045,187.2360845819594
DE,Frankfurt,U2,Bad Homburg extension,2026.0,2029.0,0.0,1.6,0.22,0.4,1.0,0.0,1.45,290.0,181.25
DE,Hamburg,U4,U4 to HafenCity U,2007.0,2012.0,0.0,3.9,1.0,3.9,2.0,0.0,1.3,602.4673663750309,154.47881189103356
